answer,clue 1,clue 2,clue 3,clue 4,clue 5
METAL SOUND,Steel status move,Gen III Steel move,debuffing move,,
METANG,Iron Claw Pokemon,Gen III Steel/Psychic species,Evolves from Beldum,Mineral egg-group species,
METAPOD,Cocoon Pokemon,Gen I Bug species,Evolves from Caterpie,Bug egg-group species,
METEOR ASSAULT,Fighting physical move,Gen VIII Fighting move,150-power move,,
METEOR BEAM,Rock special move,Gen VIII Rock move,120-power move,,
METEOR FALLS,Hoenn town,Hoenn landmark,Town-side landmark,Town in Hoenn,
METEORITE,Unlocks progression content,Tradable exchange item,Progress-gating key item,Exchangeable collectible,Story-progress key item
METEOR MASH,Steel physical move,Gen III Steel move,90-power move,boosting move,
METRONOME,Normal status move,Gen I Normal move,,,
MEWTWO,Legendary Pokemon,Gen I Genetic Pokemon,No-Eggs egg-group species,,
MEWTWONITE X,Mewtwo X Mega stone,Mega Evolution stone,Held stone for Mewtwo X,Held Mega stone,Mega trigger stone
MEWTWONITE Y,Mewtwo Y Mega stone,Mega Evolution stone,Held stone for Mewtwo Y,Held Mega stone,Mega trigger stone
MICLE BERRY,Poor on most other targets,A Move Just Once In A Pinch-only held item,Power item for A Move Just Once In A Pinch,PokBlock and Poffin berry,Berry-blending ingredient
MIENFOO,Martial Arts Pokemon,Gen V Fighting species,Ground egg-group species,,
MIENSHAO,Martial Arts Pokemon,Gen V Fighting species,Evolves from Mienfoo,Ground egg-group species,
MIGHTY CLEAVE,Rock physical move,burning move,Gen IX Rock move,95-power move,protective move
MIGHTYENA,Bite Pokemon,Gen III Dark species,Evolves from Poochyena,Ground egg-group species,
MILCERY,Cream Pokemon,Gen VIII Fairy species,Fairy egg-group species,,
MILK DRINK,Normal status move,Gen II Normal move,,,
MILOTIC,Tender Pokemon,Gen III Water species,Evolves from Feebas,Water1 egg-group species,
MILTANK,Milk Cow Pokemon,Gen II Normal species,Ground egg-group species,,
MIME JR,No-Eggs egg-group species,"25 Attack, 60 Speed species",,,
MIMIC,Copies the foe's last move,Normal status move,Gen I Normal move,,
MIMICRY,Galarian Stunfisk's signature Ability,Gen VIII ability,switching ability,,
MIMIKYU,Fairy Pokemon,Gen VII Disguise Pokemon,Gen VII Ghost/Fairy species,Indeterminate egg-group species,
MINCCINO,Chinchilla Pokemon,Gen V Normal species,Ground egg-group species,,
MIND BLOWN,Fire special move,Gen VII Fire move,150-power move,,
MIND PLATE,The Holder'S Psychic-Type Moves By Power boost item,Boosts Psychic moves for The Holder',Psychic-move booster,Signature orb for The Holder',Species-specific power orb
MIND READER,Normal status move,Gen II Normal move,,,
MINDS EYE,debuffing trait,,,,
MINIMIZE,Normal status move,Gen I Normal move,boosting move,,
MINING MUSEUM,Sinnoh city,Sinnoh landmark,Urban landmark,City in Sinnoh,
MINIOR,Meteor Pokemon,Gen VII Rock/Flying species,Mineral egg-group species,,
MINUN,Cheering Pokemon,Gen III Electric species,Fairy egg-group species,,
MINUS,Minun's signature Ability,Gen III ability,boosting ability,,
MIRACLE EYE,Psychic status move,Gen IV Psychic move,,,
MIRACLE SEED,The Holder'S Grass-Type Moves By Power boost item,Boosts Grass moves for The Holder',Grass-move booster,Signature orb for The Holder',Species-specific power orb
MIRAGE CAVE,Island location,Hoenn landmark,Hoenn cave,,
MIRAGE FOREST,Hoenn landmark,Hoenn forest,,,
MIRAGE ISLAND,Hoenn landmark,Island in Hoenn,,,
MIRAGE TOWER,Hoenn route,Hoenn landmark,Route in Hoenn,,
MIRAIDON,Paradox Pokemon,No-Eggs egg-group species,,,
MIROIR WAY,Kalos landmark,Kalos route,Town-side landmark,Route in Kalos,
MIRROR ARMOR,Corviknight's signature Ability,debuffing trait,,,
MIRROR COAT,Psychic special move,Gen II Psychic move,,,
MIRROR HERB,Held battle item,,,,
MIRROR MOVE,Copies the foe's last move,Flying status move,Gen I Flying move,,
MIRROR SHOT,Steel special move,Gen IV Steel move,65-power move,debuffing move,
MISDREAVUS,Paradox Pokemon,Gen II Screech Pokemon,Gen II Ghost species,Indeterminate egg-group species,
MISMAGIUS,Magical Pokemon,Gen IV Ghost species,Evolves from Misdreavus,Indeterminate egg-group species,
MIST,Ice status move,Gen I Ice move,protective move,,
MIST BALL,Psychic special move,Gen III Psychic move,95-power move,debuffing move,
MISTRALTON,Unova city,Unova landmark,City in Unova,,
MISTY SEED,Held battle item,,,,
MISTY SURGE,Tapu Fini's signature Ability,Gen VII ability,,,
MISTY TERRAIN,Fairy status move,Gen VI Fairy move,protective move,,
MOLD BREAKER,debuffing ability,poisoning ability,switching ability,Gen IV ability,
MOLTEN ARENA,Hisui island,Island in Hisui,Regional island,Island location,
MOLTRES,Legendary Pokemon,Gen I Flame Pokemon,No-Eggs egg-group species,,
MONEAN CHAMBER,Ancient regional ruins,Kanto landmark,,,
MONFERNO,Playful Pokemon,Gen IV Fire/Fighting species,Evolves from Chimchar,Ground egg-group species,
MONTENEVERA,Paldea town,Paldea landmark,Town-side landmark,Town in Paldea,
MOOD MAKER,Gen V ability,,,,
MOODY,boosting trait,debuffing trait,,,
MOOMOO MILK,Pinch-healing berry,Restores 100 HP,Half-HP recovery berry,100-HP restorative,Berry-blending ingredient
MOON BALL,Poor on most other targets,Special Poke Ball,,,
MOONBLAST,Fairy special move,Gen VI Fairy move,95-power move,debuffing move,
MOON FLUTE,Evolves Nebby into Solgaleo,Nebby evolution item,Held item for Solgaleo,Unlocks progression content,Progress-gating key item
MOONGEIST BEAM,Ghost special move,Gen VII Ghost move,100-power move,,
MOONLIGHT,Fairy status move,Gen II Fairy move,,,
MOON STONE,Bug-Catching Contest ball,National Park contest ball,Held item for Musharna Effect,Tradable exchange item,Exchangeable collectible
MOONVIEW ARENA,Hisui cave,Hisui landmark,Cave in Hisui,,
MOOR OF ICIRRUS,Unova landmark,,,,
MORELULL,Fairy Pokemon,Gen VII Illuminating Pokemon,Gen VII Grass/Fairy species,Plant egg-group species,
MORGREM,Fairy Pokemon,Gen VIII Devious Pokemon,Gen VIII Dark/Fairy species,Evolves from Impidimp,Fairy egg-group species
MORNING SUN,Normal status move,Gen II Normal move,,,
MORPEKO,Two-Sided Pokemon,Gen VIII Electric/Dark species,Ground egg-group species,,
MORTAL SPIN,Poison physical move,Gen IX Poison move,30-power move,poisoning move,
MOSSDEEP,Island location,Hoenn city,Hoenn landmark,Urban landmark,City in Hoenn
MOSSUI,Paldea town,Paldea landmark,Town-side landmark,Town in Paldea,
MOTHIM,Moth Pokemon,Gen IV Bug/Flying species,Evolves from A,Bug egg-group species,
MOTOR DRIVE,Electivire's signature Ability,Gen IV ability,boosting ability,protective ability,
MOTOSTOKE,Galar city,Galar landmark,Urban landmark,City in Galar,
MOUNTAINEER,Gen V ability,,,,
MOUNTAIN GALE,Ice physical move,Gen VIII Ice move,100-power move,debuffing move,flinch-causing move
MOUNT HOKULANI,Island location,Alola route,Alola landmark,Route in Alola,
MOUNT LANAKILA,Island location,Alola village,Alola landmark,Village in Alola,
MOXIE,boosting trait,,,,
MR MIME,Fairy Pokemon,Gen I Barrier Pokemon,Gen I Psychic/Fairy species,Humanshape egg-group species,
MR POKEMON,Site on Route 30,,,,
MR RIME,Comedian Pokemon,Gen VIII Ice/Psychic species,Evolves from Galarian,Humanshape egg-group species,
MT CHIMNEY,Hoenn town,Hoenn landmark,Town-side landmark,Town in Hoenn,
MT CORONET,Sinnoh town,Town-side landmark,Town in Sinnoh,Sinnoh landmark,
MT EMBER,Kanto island,Island in Kanto,Regional island,Island location,
MT MOON,Kanto mountain,Regional mountain,Kanto landmark,Mountain in Kanto,
MT MORTAR,Johto city,Johto landmark,Urban landmark,City in Johto,
MT PYRE,Route 122 tower,Hoenn house,House in Hoenn,Regional house,Ancient regional ruins
MT SILVER,Johto town,Johto landmark,Town-side landmark,Town in Johto,
MT SILVER CAVE,Johto landmark,,,,
MUD BOMB,Ground special move,Gen IV Ground move,65-power move,debuffing move,
MUDBRAY,Donkey Pokemon,Gen VII Ground species,Ground egg-group species,,
MUDDY WATER,90-power move,debuffing move,,,
MUDKIP,Mud Fish Pokemon,Gen III Water species,Monster egg-group species,,
MUDSDALE,Draft Horse Pokemon,Gen VII Ground species,Evolves from Mudbray,Ground egg-group species,
MUD SHOT,Ground special move,Gen III Ground move,55-power move,debuffing move,
MUD SLAP,Ground special move,Gen II Ground move,20-power move,debuffing move,
MUD SPORT,Ground status move,Gen III Ground move,,,
MULTI ATTACK,Normal physical move,Gen VII Normal move,120-power move,,
MULTISCALE,Gen V ability,,,,
MULTITYPE,Arceus's signature Ability,Gen IV ability,switching ability,,
MUMMY,Punishes contact attackers,Yamask And Cofagrigus's signature Ability,Damages foes on contact KO,Contact-backlash trait,
MUNCHLAX,Big Eater Pokemon,No-Eggs egg-group species,,,
MUNKIDORI,Legendary Pokemon,Gen IX Retainer Pokemon,No-Eggs egg-group species,,
MUNNA,Dream Eater Pokemon,Gen V Psychic species,Ground egg-group species,,
MURAILLE COAST,Kalos route,Town-side landmark,Urban landmark,Route in Kalos,Kalos landmark
MURKROW,Darkness Pokemon,Gen II Dark/Flying species,Flying egg-group species,,
MUSCLE BAND,The Holder'S Physical Moves By Power boost item,Held battle item,,,
MUSCLE MOCHI,Gen IX vitamins,vitamins,,,
MUSCLE WING,Gen V vitamins,vitamins,,,
MUSHARNA,Drowsing Pokemon,Gen V Psychic species,Evolves from Munna,Ground egg-group species,
MUSTARD,Special Poke Ball,Berry-blending ingredient,,,
MYCELIUM MIGHT,Toedscool And Toedscruel's signature Ability,Gen IX ability,priority ability,,
MYSTERY EGG,Unlocks progression content,Progress-gating key item,Story-progress key item,Plot-critical key,
MYSTERY ZONE,regional map location,Gen IV location,,,
MYSTICAL FIRE,75-power move,debuffing move,,,
MYSTICAL POWER,Psychic special move,Gen VIII Psychic move,boosting move,,
MYSTICTICKET,Event-only distribution item,Unlocks progression content,Event-only key item,Limited event key item,Progress-gating key item
MYSTIC WATER,Signature orb for The Holder',Species-specific power orb,,,
NACLI,Rock Salt Pokemon,Gen IX Rock species,Mineral egg-group species,,
NACLSTACK,Rock Salt Pokemon,Gen IX Rock species,Evolves from Nacli,Mineral egg-group species,
NACRENE,Unova city,Unova landmark,Town-side landmark,City in Unova,
NACRENE GATE,Unova route connector,Unova landmark,Connector gate in Unova,,
NAGANADEL,Dragon Pokemon,Gen VII Poison Pin Pokemon,Evolves from Poipole,No-Eggs egg-group species,
NANAB BERRY,Tradable exchange item,Exchangeable collectible,PokBlock and Poffin berry,Berry-blending ingredient,Loamy-soil berry crop
NASTY PLOT,Dark status move,Gen IV Dark move,boosting move,,
NATIONAL PARK,Site on Route 35,Johto city,Johto landmark,Urban landmark,City in Johto
NATU,Tiny Bird Pokemon,Gen II Psychic/Flying species,Flying egg-group species,,
NATURAL CURE,healing trait,switching trait,,,
NATURAL GIFT,Normal physical move,Gen IV Normal move,,,
NATURE POWER,Normal status move,Gen III Normal move,,,
NATURES PANTRY,Hisui landmark,,,,
NAVEL ROCK,Kanto island,Island in Kanto,Regional island,Island location,
NECROZMA,Legendary Pokemon,Gen VII Prism Pokemon,Black Prism Pokemon,No-Eggs egg-group species,
NEEDLE ARM,Grass physical move,Gen III Grass move,60-power move,flinch-causing move,
NEST BALL,Safari Zone catcher,Great Marsh capture tool,Poor on most other targets,Special Poke Ball,
NET BALL,Poor on most other targets,Special Poke Ball,,,
NEUROFORCE,Gen VII ability,,,,
NEVER MELT ICE,type enhancement,,,,
NEW BARK,Johto town,Johto landmark,Town-side landmark,Town in Johto,
NEW MAUVILLE,Island location,Hoenn city,Hoenn landmark,Urban landmark,City in Hoenn
NEWMOON ISLAND,Sinnoh landmark,Located in Northwestern Sinnoh,,,
NICKIT,Fox Pokemon,Gen VIII Fox Pokemon,Gen VIII Dark species,Ground egg-group species,
NIDOKING,Drill Pokemon,Gen I Poison/Ground species,Evolves from Nidorino,Monster egg-group species,
NIDOQUEEN,Drill Pokemon,Gen I Poison/Ground species,Evolves from Nidorina,No-Eggs egg-group species,
NIDORAN F,Poison Pin Pokemon,Monster egg-group species,,,
NIDORAN M,Poison Pin Pokemon,Monster egg-group species,,,
NIDORINA,Poison Pin Pokemon,Gen I Poison species,Evolves from Nidoran,No-Eggs egg-group species,
NIDORINO,Poison Pin Pokemon,Gen I Poison species,Evolves from Nidoran,Monster egg-group species,
NIGHT DAZE,Dark special move,Gen V Dark move,85-power move,debuffing move,
NIGHTMARE,Ghost status move,Gen II Ghost move,,,
NIGHT SHADE,Ghost special move,Gen I Ghost move,,,
NIGHT SLASH,Dark physical move,critical-hit move,Gen IV Dark move,70-power move,
NIHILEGO,Parasite Pokemon,Gen VII Rock/Poison species,No-Eggs egg-group species,,
NIMBASA,Unova city,Unova landmark,City in Unova,,
NIMBASA GATE,Unova route connector,Unova landmark,Connector gate in Unova,,
NINCADA,Trainee Pokemon,Gen III Bug/Ground species,Bug egg-group species,,
NINETALES,Fox Pokemon,Gen I Fire species,Evolves from Vulpix,Ground egg-group species,
NINJASK,Ninja Pokemon,Gen III Bug/Flying species,Evolves from Nincada,Bug egg-group species,
NINTENDO WORLD,Urban landmark,,,,
NOBLE ROAR,Normal status move,Gen VI Normal move,debuffing move,,
NOCTOWL,Owl Pokemon,Gen II Normal/Flying species,Evolves from Hoothoot,Flying egg-group species,
NO GUARD,Powers up Dondozo from inside,Machop'S Evolutionary Line's signature Ability,Enters Dondozo's mouth,Ally-swallowing boost trait,
NOIBAT,Dragon Pokemon,Gen VI Sound Wave Pokemon,Gen VI Flying/Dragon species,Flying egg-group species,
NOIVERN,Dragon Pokemon,Gen VI Sound Wave Pokemon,Gen VI Flying/Dragon species,Evolves from Noibat,Flying egg-group species
NOMAD,Gen V ability,,,,
NOMEL BERRY,Tradable exchange item,Exchangeable collectible,PokBlock and Poffin berry,Berry-blending ingredient,Loamy-soil berry crop
NO RETREAT,Fighting status move,Gen VIII Fighting move,flinch-causing move,,
NORMAL,baseline element,fighting-weak type,ghost-vulnerable type,,
NORMAL GEM,Held battle item,One-use Normal booster,,,
NORMALIZE,Skitty And Delcatty's signature Ability,Status-blocking trait,Prevents major status ailments,Ailment-proof trait,Weather-linked trait
NOSEPASS,Compass Pokemon,Gen III Rock species,Mineral egg-group species,,
NOXIOUS TORQUE,Copies the foe's last move,Poison physical move,Gen IX Poison move,100-power move,poisoning move
NS CASTLE,Unova landmark,,,,
NUGGET,Safari Zone catcher,Great Marsh capture tool,Valuable sellable loot,Vendor treasure,
NUMEL,Numb Pokemon,Gen III Fire/Ground species,Ground egg-group species,,
NURSE,Gen V ability,,,,
NUVEMA,Unova town,Unova landmark,Town-side landmark,Town in Unova,
NUZLEAF,Wily Pokemon,Gen III Grass/Dark species,Evolves from Seedot,Ground egg-group species,
NUZZLE,Electric physical move,paralyzing move,Gen VI Electric move,20-power move,
NYMBLE,Grasshopper Pokemon,Gen IX Bug species,Bug egg-group species,,
OAKS LETTER,Unlocks progression content,Event-only key item,Progress-gating key item,Mythic event item,
OAKS PARCEL,Story-progress key item,Plot-critical key,,,
OBLIVION WING,Self-healing move,Flying special move,Gen VI Flying move,80-power move,draining move
OBLIVIOUS,Status-blocking trait,Prevents major status ailments,Ailment-proof trait,protective trait,
OBSIDIAN FALLS,Hisui tunnel,Tunnel in Hisui,Regional tunnel,Hisui landmark,
OBSTAGOON,Blocking Pokemon,Gen VIII Dark/Normal species,Evolves from Galarian,Ground egg-group species,
OBSTRUCT,Dark status move,Gen VIII Dark move,debuffing move,priority move,protective move
OCCA BERRY,Tradable exchange item,Exchangeable collectible,PokBlock and Poffin berry,Berry-blending ingredient,
OCTAZOOKA,Water special move,Gen II Water move,65-power move,debuffing move,
OCTILLERY,Jet Pokemon,Gen II Water species,Evolves from Remoraid,Water1 egg-group species,
OCTOLOCK,Fighting status move,Stat-lowering move,Gen VIII Fighting move,debuffing move,switching move
ODD INCENSE,The Holder'S Psychic-Type Moves By Power boost item,Boosts Psychic moves for The Holder',Psychic-move booster,Signature orb for The Holder',Species-specific power orb
ODDISH,Weed Pokemon,Gen I Grass/Poison species,Plant egg-group species,,
ODD KEYSTONE,Unlocks progression content,Progress-gating key item,Story or event key item,Unlocking key item,
ODOR SLEUTH,Normal status move,Gen III Normal move,,,
OGERPON,Legendary Pokemon,Gen IX Mask Pokemon,No-Eggs egg-group species,,
OINKOLOGNE,Hog Pokemon,Gen IX Normal species,Evolves from Lechonk,Ground egg-group species,
OKIDOGI,Legendary Pokemon,Gen IX Retainer Pokemon,No-Eggs egg-group species,,
OLDALE,Hoenn town,Hoenn landmark,Town-side landmark,Urban landmark,Town in Hoenn
OLD AMBER,Revives into Aerodactyl,Gen I relic for Aerodactyl,Fossil revival item,Unlocks progression content,Progress-gating key item
OLD CEMETERY,Galar landmark,,,,
OLD CHARM,Unlocks progression content,Progress-gating key item,Story-progress key item,Plot-critical key,
OLD CHATEAU,Sinnoh house,House in Sinnoh,Regional house,Sinnoh landmark,
OLD GATEAU,Cures all major status conditions,Full status remedy,Also cures confusion,,
OLD LETTER,Unlocks progression content,Progress-gating key item,Story-progress key item,Plot-critical key,
OLD ROD,Unlocks progression content,Progress-gating key item,Adventure utility item,,
OLD SEA MAP,Event-only distribution item,Unlocks progression content,Event-only key item,Limited event key item,Progress-gating key item
OLIVINE,Johto city,Johto landmark,Urban landmark,City in Johto,
OMANYTE,Spiral Pokemon,Water1 egg-group species,,,
OMASTAR,Spiral Pokemon,Evolves from Omanyte,Water1 egg-group species,,
OMINOUS WIND,Ghost special move,Gen IV Ghost move,60-power move,boosting move,
OMNIPOTENT,Gen V ability,,,,
ONE ISLAND,Kanto town,Kanto landmark,Town-side landmark,Town in Kanto,
ONI MOUNTAIN,Paldea landmark,Located in The Center Of Kitakami,,,
ONIS MAW,Paldea landmark,,,,
ONIX,Rock Snake Pokemon,Gen I Rock/Ground species,Mineral egg-group species,,
OPELUCID,Unova city,Unova landmark,City in Unova,,
OPELUCID GATE,Unova route connector,Unova landmark,Connector gate in Unova,,
OPPORTUNIST,Espathra's signature Ability,Gen IX ability,boosting ability,debuffing ability,
ORAN BERRY,Restores 10 HP,10-HP restorative,Tradable exchange item,Exchangeable collectible,PokBlock and Poffin berry
ORANGE PETAL,Part of the Rainbow Flower,Needed for Mina's Rainbow Flower,One of seven trial finds,Mina's trial collectible,Unlocks progression content
ORANGURU,Sage Pokemon,Gen VII Normal/Psychic species,Ground egg-group species,,
ORBEETLE,Seven Spot Pokemon,Gen VIII Bug/Psychic species,Evolves from Dottler,Bug egg-group species,
ORDER UP,Dragon physical move,Gen IX Dragon move,80-power move,protective move,
OREBURGH,Sinnoh city,Sinnoh landmark,Town-side landmark,Urban landmark,City in Sinnoh
OREBURGH GATE,Site on Route 203,Sinnoh city,Sinnoh landmark,Urban landmark,City in Sinnoh
OREBURGH MINE,Sinnoh city,Sinnoh landmark,Urban landmark,City in Sinnoh,
ORICORIO,Dancing Pokemon,Gen VII Flying species,Flying egg-group species,,
ORIGIN PULSE,Water special move,Gen VI Water move,110-power move,,
ORTHWORM,Earthworm Pokemon,Gen IX Steel species,Ground egg-group species,,
OSHAWOTT,Sea Otter Pokemon,Gen V Water species,Ground egg-group species,,
OUTCAST ISLAND,Kanto route,Kanto landmark,Route in Kanto,,
OUTRAGE,Dragon physical move,Gen II Dragon move,120-power move,,
OUVERT WAY,Kalos landmark,Kalos route,Urban landmark,Route in Kalos,
OVAL CHARM,Unlocks progression content,Progress-gating key item,Adventure utility item,Two Pokemon Producing An Egg At The Daycare Every-only held item,
OVAL STONE,Bug-Catching Contest ball,Happiny evolution item,National Park contest ball,Evolution-trigger item,Evolves Happiny into Chansey When Leveled Up During The Day While Holding It
OVERCOAT,Weather-linked trait,protective trait,,,
OVERDRIVE,Electric special move,Gen VIII Electric move,80-power move,,
OVERGROW,Boosts Grass-type moves at low HP,Low-HP Grass boost,Grass-power when weakened,,
OVERHEAT,Fire special move,Gen III Fire move,130-power move,debuffing move,
OVERQWIL,Pin Cluster Pokemon,Evolves from Hisuian,Water2 egg-group species,,
OWN TEMPO,Status-blocking trait,Prevents major status ailments,Ailment-proof trait,,
PACHIRISU,EleSquirrel Pokemon,Gen IV Electric species,Ground egg-group species,,
PACIFIDLOG,Hoenn town,Hoenn landmark,Town-side landmark,Town in Hoenn,
PAIN SPLIT,Normal status move,Gen II Normal move,,,
PAIR OF TICKETS,Story or event key item,Story-progress key item,Plot-critical key,Unlocking key item,
PALAFIN,Dolphin Pokemon,Gen IX Water species,Evolves from Finizen,Ground egg-group species,
PALAIS LANE,Kalos landmark,Kalos route,Route in Kalos,,
PALKIA,Legendary Pokemon,Gen IV Spatial Pokemon,No-Eggs egg-group species,,
PALLET,Island location,Kanto town,Kanto landmark,Town-side landmark,Town in Kanto
PALOSSAND,Sand Castle Pokemon,Gen VII Ghost/Ground species,Evolves from Sandygast,Indeterminate egg-group species,
PAL PAD,Unlocks progression content,Tradable exchange item,Progress-gating key item,Exchangeable collectible,Adventure utility item
PAL PARK,Site on Route 221,Sinnoh city,Sinnoh landmark,Urban landmark,City in Sinnoh
PALPITOAD,Vibration Pokemon,Gen V Water/Ground species,Evolves from Tympole,Water1 egg-group species,
PAMTRE BERRY,Tradable exchange item,Exchangeable collectible,PokBlock and Poffin berry,Berry-blending ingredient,Loamy-soil berry crop
PANCHAM,Playful Pokemon,Gen VI Fighting species,Ground egg-group species,,
PANGORO,Daunting Pokemon,Gen VI Fighting/Dark species,Evolves from Pancham,Ground egg-group species,
PANIOLA,Island location,Alola town,Alola landmark,Town-side landmark,Town in Alola
PANIOLA RANCH,Island location,Alola town,Alola landmark,Town-side landmark,Town in Alola
PANPOUR,Spray Pokemon,Gen V Water species,Ground egg-group species,,
PANSAGE,Grass Monkey Pokemon,Gen V Grass species,Ground egg-group species,,
PANSEAR,High Temp Pokemon,Gen V Fire species,Ground egg-group species,,
PARALYZE HEAL,Safari Zone catcher,Great Marsh capture tool,,,
PARAS,Mushroom Pokemon,Gen I Bug/Grass species,Bug egg-group species,,
PARASECT,Mushroom Pokemon,Gen I Bug/Grass species,Evolves from Paras,Bug egg-group species,
PARCEL,Unlocks progression content,Progress-gating key item,Story-progress key item,Plot-critical key,Special Poke Ball
PARCEL LETSGO,Story-progress key item,Plot-critical key,,,
PARENTAL BOND,Punishes contact attackers,Mega Kangaskhan's signature Ability,Damages foes on contact KO,Status-blocking trait,Contact-backlash trait
PARFUM PALACE,Site on Route 6,Kalos route,Kalos landmark,Route in Kalos,
PARK BALL,Never-fails catcher in Pal Park,Special Poke Ball,,,
PARRY,Gen V ability,,,,
PARTERRE WAY,Kalos landmark,Kalos route,Urban landmark,Route in Kalos,
PARTING SHOT,Dark status move,Gen VI Dark move,debuffing move,switching move,
PASSHO BERRY,Tradable exchange item,Exchangeable collectible,PokBlock and Poffin berry,Berry-blending ingredient,
PASSIMIAN,Teamwork Pokemon,Gen VII Fighting species,Ground egg-group species,,
PASS ORB,Species-linked power item,Signature battle item,,,
PASTEL VEIL,Galarian Ponyta And Galarian Rapidash's signature Ability,poisoning trait,,,
PASTORIA,Sinnoh city,Sinnoh landmark,Town-side landmark,Urban landmark,City in Sinnoh
PATHLESS PLAIN,Hoenn island,Island in Hoenn,Regional island,Island location,Town-side landmark
PATH TO THE PEAK,Galar landmark,,,,
PATRAT,Scout Pokemon,Gen V Normal species,Ground egg-group species,,
PATTERN BUSH,Kanto island,Island in Kanto,Regional island,Island location,
PAWMI,Mouse Pokemon,Gen IX Electric species,Ground egg-group species,,
PAWMO,Mouse Pokemon,Gen IX Electric/Fighting species,Evolves from Pawmi,Ground egg-group species,
PAWMOT,Hands-On Pokemon,Gen IX Electric/Fighting species,Evolves from Pawmo,Ground egg-group species,
PAWNIARD,Sharp Blade Pokemon,Gen V Dark/Steel species,Humanshape egg-group species,,
PAYAPA BERRY,Tradable exchange item,Exchangeable collectible,PokBlock and Poffin berry,Berry-blending ingredient,
PAYBACK,Dark physical move,Gen IV Dark move,50-power move,,
PAY DAY,Normal physical move,Gen I Normal move,40-power move,,
PC FUKUOKA,regional map location,Gen IV location,,,
PC NAGOYA,regional map location,Gen IV location,,,
PC OSAKA,regional map location,Gen IV location,,,
PC SAPPORO,regional map location,Gen IV location,,,
PC TOKYO,regional map location,Gen IV location,,,
PC YOKOHAMA,regional map location,Gen IV location,,,
PEARL,Valuable sellable loot,Vendor treasure,,,
PEARL STRING,Valuable sellable loot,Vendor treasure,,,
PEAT BLOCK,Ursaring evolution item,Evolution-trigger item,Evolves Ursaring into Ursaluna When Used During A Full Moon,,
PECHA BERRY,Tradable exchange item,Exchangeable collectible,PokBlock and Poffin berry,Berry-blending ingredient,
PECHARUNT,Mythical Pokemon,Gen IX Subjugation Pokemon,No-Eggs egg-group species,,
PECK,Flying physical move,Gen I Flying move,35-power move,,
PELIPPER,Water Bird Pokemon,Gen III Water/Flying species,Evolves from Wingull,Water1 egg-group species,
PERCEPTION,Gen V ability,,,,
PERISH BODY,Punishes contact attackers,Cursola's signature Ability,Damages foes on contact KO,Contact-backlash trait,switching trait
PERISH SONG,Normal status move,Gen II Normal move,,,
PERMIT,Unlocks progression content,Progress-gating key item,Adventure utility item,,
PERRSERKER,Viking Pokemon,Gen VIII Steel species,Evolves from Galarian,Ground egg-group species,
PERSIAN,Classy Cat Pokemon,Gen I Normal species,Evolves from Meowth,Ground egg-group species,
PERSIM BERRY,Tradable exchange item,Exchangeable collectible,PokBlock and Poffin berry,Berry that may confuse,Berry-blending ingredient
PETAL BLIZZARD,Grass physical move,Gen VI Grass move,90-power move,,
PETALBURG,Hoenn town,Hoenn landmark,Town-side landmark,Urban landmark,Town in Hoenn
PETAL DANCE,Grass special move,Gen I Grass move,120-power move,,
PETAYA BERRY,Power item for The Consumer By One Stage,The Consumer By One Stage-only held item,Poor on most other targets,Special Attack boost on trigger,The Consumer By One Stage Sp. Atk boost item
PETILIL,Bulb Pokemon,Gen V Grass species,Plant egg-group species,,
PEWTER,Urban landmark,,,,
PHANPY,Long Nose Pokemon,Gen II Ground species,Ground egg-group species,,
PHANTOM FORCE,Ghost physical move,Gen VI Ghost move,90-power move,protective move,
PHANTUMP,Stump Pokemon,Gen VI Ghost/Grass species,Plant egg-group species,,
PHEROMOSA,Lissome Pokemon,Gen VII Bug/Fighting species,No-Eggs egg-group species,,
PHIONE,Mythical Pokemon,Gen IV Sea Drifter Pokemon,Water1 egg-group species,,
PHOTO ALBUM,Progress-gating key item,Unlocks progression content,unused,,
PHOTON GEYSER,Psychic special move,Gen VII Psychic move,100-power move,,
PICHU,Tiny Mouse Pokemon,No-Eggs egg-group species,,,
PICKPOCKET,Gen V ability,flinch-causing ability,,,
PICKUP,burning ability,paralyzing ability,Gen III ability,switching ability,
PIDGEOT,Bird Pokemon,Mega form turns Normal/Flying,Gen I Normal/Flying species,Evolves from Pidgeotto,Flying egg-group species
PIDGEOTITE,Pidgeot Mega stone,Mega Evolution stone,Held stone for Pidgeot,Held Mega stone,Mega trigger stone
PIDGEOTTO,Bird Pokemon,Gen I Normal/Flying species,Evolves from Pidgey,Flying egg-group species,
PIDGEY,Tiny Bird Pokemon,Gen I Normal/Flying species,Flying egg-group species,,
PIDOVE,Tiny Pigeon Pokemon,Gen V Normal/Flying species,Flying egg-group species,,
PIGNITE,Fire Pig Pokemon,Gen V Fire/Fighting species,Evolves from Tepig,Ground egg-group species,
PIKACHU,Mouse Pokemon,Gen I Electric species,Evolves from Pichu,Ground egg-group species,
PIKA PAPOW,Electric special move,Gen VII Electric move,,,
PIKIPEK,Woodpecker Pokemon,Gen VII Normal/Flying species,Flying egg-group species,,
PILOSWINE,Swine Pokemon,Gen II Ice/Ground species,Evolves from Swinub,Ground egg-group species,
